iso_code,continent,location,date,total_cases,total_deaths,total_tests,tests_per_case,total_vaccinations,people_fully_vaccinated,total_vaccinations_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,total_deaths_per_100k
GHA,Africa,Ghana,2021-02-01,67010,416,792936,7.3,NA,NA,NA,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,0.3,7.7,41.047,0.9,64.07,0.592,1.3387852358378005
GRC,Europe,Greece,2021-02-01,157495,5829,4192666,41.3,293817,NA,2.82,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,35.3,52,NA,4.21,82.24,0.87,55.92409750077137
GRD,North America,Grenada,2021-02-01,148,1,NA,NA,NA,NA,NA,112519,317.132,29.4,7.304,5.021,13593.877,NA,243.964,NA,NA,NA,3.7,72.4,0.772,0.8887387907820014
GTM,North America,Guatemala,2021-02-01,159632,5673,790649,9.5,NA,NA,NA,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,NA,NA,76.665,0.6,74.3,0.65,31.665199320791803
GIN,Africa,Guinea,2021-02-01,14555,83,NA,NA,NA,NA,NA,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,NA,NA,17.45,0.3,61.6,0.459,0.6320057456175351
GNB,Africa,Guinea-Bissau,2021-02-01,2634,45,NA,NA,NA,NA,NA,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,NA,NA,6.403,NA,58.32,0.455,2.2865876896216357
GUY,South America,Guyana,2021-02-01,7654,177,NA,NA,NA,NA,NA,786559,3.952,26.3,5.305,2.837,7435.047,NA,373.159,NA,NA,77.159,1.6,69.91,0.654,22.503079870677215
HTI,North America,Haiti,2021-02-01,11533,245,NA,NA,NA,NA,NA,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,2.9,23.1,22.863,0.7,64,0.498,2.1486453930894127
HND,North America,Honduras,2021-02-01,147843,3610,NA,NA,NA,NA,NA,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,2,NA,84.169,0.7,75.27,0.617,36.44768172551604
HUN,Europe,Hungary,2021-02-01,368710,12578,2718314,12.9,311662,NA,3.23,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,26.8,34.8,NA,7.02,76.88,0.838,130.20232186204433
ISL,Europe,Iceland,2021-02-01,6009,29,264667,304.7,NA,NA,NA,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,14.3,15.2,NA,2.91,82.99,0.935,8.498168498168498
